Job Title,Company,Location,Job Link
"Regional Vice President, Northern",HERMÈS,Manhattan,https://www.welcometothejungle.com/en/companies/hermes/jobs/regional-vice-president-northern_manhattan_HERMS_qgzVgXr
"Director - Human Resources Business Partner, West Region",HERMÈS,Beverly Hills,https://www.welcometothejungle.com/en/companies/hermes/jobs/director-human-resources-business-partner-west-region_beverly-hills
"Senior Human Resources Business Partner, Service Centers",HERMÈS,New York,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-service-centers_new-york
"Senior Director - Human Resources Business Partner, Retail",HERMÈS,Manhattan,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-director-human-resources-business-partner-retail_manhattan
"Selling Supervisor, Topanga",HERMÈS,Canoga Park,https://www.welcometothejungle.com/en/companies/hermes/jobs/selling-supervisor-topanga_canoga-park
Office & Guest Ambassador - Nashville,L-ACOUSTICS,Nashville,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/office-guest-ambassador-nashville_nashville
Senior Lead Regulation & Markets - North America,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-lead-regulation-markets-north-america_new-york
"Senior Staff Software Engineer, Payments","TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/senior-staff-software-engineer-payments_san-francisco
Dealer Service Performance Manager,MSX INTERNATIONAL,Boston,https://www.welcometothejungle.com/en/companies/msx-international/jobs/dealer-service-performance-manager_boston_MI_q8Re7dq
"Applied AI, Forward Deployed Machine Learning Engineer - NYC",MISTRAL AI,New York,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/applied-ai-engineer-use-case-palo-alto_palo-alto
Technical Support Expert,MISTRAL AI,Palo Alto,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/technical-support-expert_palo-alto
Senior Product Marketing Manager - New York,MISTRAL AI,New York,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/senior-product-marketing-manager-new-york_new-york
Senior Accountant,"TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/senior-accountant_san-francisco
"Enterprise Account Executive, LATAM (Brazil)",DATAIKU,New York,https://www.welcometothejungle.com/en/companies/dataiku/jobs/enterprise-account-executive-latam-brazil_new-york
"AI Deployment Strategist, Pre-Sales (US)",DUST,San Francisco,https://www.welcometothejungle.com/en/companies/dust/jobs/solutions-engineer-us_san-francisco
Analyst / Associate Creadev US,CREADEV,New York,https://www.welcometothejungle.com/en/companies/creadev/jobs/analyst-associate-creadev-us_new-york
Senior Account Executive – Automotive SaaS (North East USA),DIFFUSELY,Raleigh,https://www.welcometothejungle.com/en/companies/meero/jobs/senior-sales-executive-automotive-saas-north-east-usa_raleigh
"Macro Economics Journalist, Washington DC",AGENCE FRANCE-PRESSE,Washington,https://www.welcometothejungle.com/en/companies/agence-france-presse/jobs/macro-economics-journalist-washington-dc_washington
"Regional Manager - Sales, Central - Hermès Horloger",HERMÈS,Las Vegas,https://www.welcometothejungle.com/en/companies/hermes/jobs/regional-manager-sales-central-hermes-horloger_las-vegas_HERMS_RlXdrG8
"Floor Director, Maison, Maison Madison Flagship",HERMÈS,New York,https://www.welcometothejungle.com/en/companies/hermes/jobs/floor-director-maison-maison-madison-flagship_new-york
"Sales Specialist, WRTW/Shoes, Maison Madison Flagship",HERMÈS,New York,https://www.welcometothejungle.com/en/companies/hermes/jobs/sales-specialist-wrtw-shoes-maison-madison-flagship_new-york
Conseiller Commercial (F/H) - Dpt 02,AXA,Avenel,https://www.welcometothejungle.com/en/companies/axa/jobs/conseiller-commercial-axa-f-h-aisne_nanterre
"Assistant Manager, Beverly Hills Flagship",HERMÈS,Beverly Hills,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-beverly-hills-flagship_beverly-hills_HERMS_5w7oxr
"Assistant Manager, Men's Universe, Maison Madison Flagship",HERMÈS,New York,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-men-s-universe-maison-madison-flagship_new-york_HERMS_rLOpZq0
"Sales Specialist, Las Vegas Crystals",HERMÈS,Las Vegas,https://www.welcometothejungle.com/en/companies/hermes/jobs/sales-specialist-las-vegas-crystals_las-vegas_HERMS_ZKjyorp
"Selling Supervisor, Las Vegas Crystals",HERMÈS,Las Vegas,https://www.welcometothejungle.com/en/companies/hermes/jobs/selling-supervisor-las-vegas-crystals_las-vegas_HERMS_N2QDAWW
After Sales & Client Services Coordinator,HERMÈS,Manhattan,https://www.welcometothejungle.com/en/companies/hermes/jobs/after-sales-client-services-coordinator_manhattan_HERMS_5KeLgD2
"Sales Specialist, Seattle",HERMÈS,Bellevue,https://www.welcometothejungle.com/en/companies/hermes/jobs/sales-specialist-seattle_bellevue_HERMS_265LXPr
Enterprise Account Executive,BREVO,Austin,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/enterprise-account-executive_austin
Account Executive,BREVO,Austin,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/account-executive_austin
Client Delivery Lead,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-client-delivery-lead_new-york
Client Delivery Lead - Residential Flex,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/client-delivery-lead-smartflex_new-york
Client Delivery Lead,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/client-delivery-lead_new-york
Mobile Service Field Specialist,MSX INTERNATIONAL,Atlanta,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_atlanta_MI_KRzkbjz
Client Services Associate,OGURY,New York,https://www.welcometothejungle.com/en/companies/ogury/jobs/client-services-associate_new-york
AI Deployment Strategist - Palo Alto,MISTRAL AI,Palo Alto,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/ai-deployment-strategist-palo-alto_palo-alto
"Staff Software Engineer, iOS","TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/staff-software-engineer-ios_san-francisco
"Security Engineer, Enterprise Security","TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/security-engineer-enterprise-security_san-francisco
Product Owner,MSX INTERNATIONAL,Southfield,https://www.welcometothejungle.com/en/companies/msx-international/jobs/product-owner_southfield
"Customer Operations Manager, US, Austin",PELICO,Miami,https://www.welcometothejungle.com/en/companies/pelico/jobs/customer-operations-manager-us-austin_miami
Security Engineer (F/M/X),YOUSIGN,Myrtle Point,https://www.welcometothejungle.com/en/companies/yousign/jobs/security-engineer-f-m-x_remote_YOUSI_No7O87V
"Senior Supervisor, Quality","TURO, FRANCE",Phoenix,https://www.welcometothejungle.com/en/companies/turo/jobs/senior-supervisor-quality_phoenix
Senior Product & Marketing Counsel,"TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/senior-product-marketing-counsel_san-francisco
"Director, US Brand & Integrated Marketing","TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/director-us-brand-integrated-marketing_san-francisco
Financial Planning & Analysis Manager (Revenue),"TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/financial-planning-analysis-manager-revenue_toronto
EGS Garage Assistant,MSX INTERNATIONAL,Fountain Valley,https://www.welcometothejungle.com/en/companies/msx-international/jobs/egs-garage-assistant_irvine
"Senior Software Engineer, Android","TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/senior-software-engineer-android_san-francisco
BIM/CAD Draughtsman M/F,VINCI CONSTRUCTION,Norfolk,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/bim-cad-draughtsman-m-f_norfolk
"Onsite Manager Red Oak, TX",GOJOB,Red Oak,https://www.welcometothejungle.com/en/companies/gojob/jobs/onsite-manager-red-oak-tx_red-oak_GOJOB_GVgxmld
HR Generalist,SAFRAN ELECTRONICS & DEFENSE,Irvine,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/hr-generalist_irvine
Site Reliability Engineer - New York,DATAIKU,New York,https://www.welcometothejungle.com/en/companies/dataiku/jobs/site-reliability-engineer-new-york_new-york
VIE - Solutions Engineer,GLADIA,New York,https://www.welcometothejungle.com/en/companies/gladia/jobs/vie-solutions-engineer_new-york
Executive Assistant,DATAIKU,New York,https://www.welcometothejungle.com/en/companies/dataiku/jobs/executive-assistant_new-york
"Principal Data Scientist, Stochastic Modeling",VIA,New York,https://www.welcometothejungle.com/en/companies/via/jobs/principal-data-scientist-stochastic-modeling_new-york
"Principal Data Scientist, Advanced ML & Optimization",VIA,New York,https://www.welcometothejungle.com/en/companies/via/jobs/principal-data-scientist-advanced-ml-optimization_new-york
Conseiller(e) en assurance réseau BAYONNE H/F,MUTUELLE DES MOTARDS,Bayonne,https://www.welcometothejungle.com/en/companies/mutuelle-des-motards/jobs/conseiller-en-assurance-reseau-bayonne-h-f_bayonne
"Sales Specialist, Las Vegas Bellagio",HERMÈS,Las Vegas,https://www.welcometothejungle.com/en/companies/hermes/jobs/sales-specialist-las-vegas-bellagio_las-vegas_HERMS_eqoqmeL
Supervisor - Client Relations Center,HERMÈS,Beverly Hills,https://www.welcometothejungle.com/en/companies/hermes/jobs/supervisor-client-relations-center_beverly-hills
"Selling & Service Assistant, Boston",HERMÈS,Boston,https://www.welcometothejungle.com/en/companies/hermes/jobs/selling-service-assistant-boston_boston_HERMS_LW0l64y
"Assistant Manager, Las Vegas Crystals",HERMÈS,Las Vegas,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-las-vegas-crystals_las-vegas_HERMS_L9MY3V9
Assistant Manager - Logistics Operations,HERMÈS,Dayton,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-logistics-operations_dayton_HERMS_DJaYJb8
"Assistant Manager, San Diego",HERMÈS,San Diego,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-san-diego_san-diego_HERMS_o0dDDXD
Travel Coordinator,L-ACOUSTICS,Camarillo,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/travel-coordinator_westlake
Transport and Customs Coordinator,L-ACOUSTICS,Camarillo,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/transport-and-customs-coordinator_westlake
Senior Software Engineer,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-software-engineer_new-york
Software Engineer II,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/software-engineer-ii_new-york
Product Manager - Vertically Integrated Utilities,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/product-manager-vertically-integrated-utilities_new-york
Senior Product Manager - Outage Management,KRAKEN,New York,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-product-manager-outage-management_new-york
[Dealer Services Program] Parts & Service Data Analyst,MSX INTERNATIONAL,Fountain Valley,https://www.welcometothejungle.com/en/companies/msx-international/jobs/dealer-services-program-parts-service-data-analyst_fountain-valley
Implementation Specialist,MSX INTERNATIONAL,Cincinnati,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_cincinnati
Remote AI Digitalization Expert,MSX INTERNATIONAL,Southfield,https://www.welcometothejungle.com/en/companies/msx-international/jobs/remote-ai-digitalization-expert_southfield
"Lead Customer Operations (US, Seattle)",PELICO,Miami,https://www.welcometothejungle.com/en/companies/pelico/jobs/lead-customer-operations-us-seattle_miami
Strategy & Planning Manager,"TURO, FRANCE",San Francisco,https://www.welcometothejungle.com/en/companies/turo/jobs/strategy-planning-manager_san-francisco
